electric field (mV/mm),cell line,average speed (µm/s)
0,HL-60 wild-type,0.085315503
0,HL-60 wild-type,0.076366402
0,HL-60 wild-type,0.088656571
0,HL-60 wild-type,0.055926899
0,HL-60 Galvanin Knockout,0.077146724
0,HL-60 Galvanin Knockout,0.065095831
0,HL-60 Galvanin Knockout,0.059977289
0,HL-60 Galvanin Knockout,0.062990537
0,HL-60 Galvanin Knockout,0.056650007
0,HL-60 Galvanin Knockout,0.069425552
0,HL-60 Galvanin Knockout,0.062893494
0,HL-60 Galvanin knockout + Galvanin-GFP,0.062017747
0,HL-60 Galvanin knockout + Galvanin-GFP,0.030024674
0,HL-60 Galvanin knockout + Galvanin-GFP,0.04645299
0,HL-60 Galvanin knockout + Galvanin-GFP,0.071871635
0,HL-60 Galvanin knockout + Galvanin-GFP,0.075694396
0,HL-60 Galvanin knockout + Galvanin-GFP,0.087591634
0,HL-60 Galvanin knockout + Galvanin-GFP,0.076108415
0,HL-60 Galvanin knockout + Galvanin-GFP,0.051695684
0,HL-60 Galvanin knockout + Galvanin-GFP,0.05012212
100,HL-60 wild-type,0.079208302
100,HL-60 wild-type,0.067589535
100,HL-60 wild-type,0.067412735
100,HL-60 wild-type,0.093049405
100,HL-60 wild-type,0.058807808
100,HL-60 wild-type,0.070642123
100,HL-60 Galvanin Knockout,0.065717009
100,HL-60 Galvanin Knockout,0.072072347
100,HL-60 Galvanin Knockout,0.081025243
100,HL-60 Galvanin Knockout,0.079285454
100,HL-60 Galvanin Knockout,0.07901661
100,HL-60 Galvanin Knockout,0.071863188
100,HL-60 Galvanin Knockout,0.08028892
100,HL-60 Galvanin Knockout,0.072232176
100,HL-60 Galvanin knockout + Galvanin-GFP,0.040418352
100,HL-60 Galvanin knockout + Galvanin-GFP,0.055112294
100,HL-60 Galvanin knockout + Galvanin-GFP,0.083887954
100,HL-60 Galvanin knockout + Galvanin-GFP,0.07536018
100,HL-60 Galvanin knockout + Galvanin-GFP,0.078049143
100,HL-60 Galvanin knockout + Galvanin-GFP,0.058898088
100,HL-60 Galvanin knockout + Galvanin-GFP,0.054971202
300,HL-60 wild-type,0.109699914
300,HL-60 wild-type,0.071648816
300,HL-60 wild-type,0.080410486
300,HL-60 wild-type,0.085294418
300,HL-60 Galvanin Knockout,0.080460329
300,HL-60 Galvanin Knockout,0.070780969
300,HL-60 Galvanin Knockout,0.061617343
300,HL-60 Galvanin Knockout,0.063991737
300,HL-60 Galvanin Knockout,0.071602698
300,HL-60 Galvanin Knockout,0.079985165
300,HL-60 Galvanin Knockout,0.079243016
300,HL-60 Galvanin knockout + Galvanin-GFP,0.071704164
300,HL-60 Galvanin knockout + Galvanin-GFP,0.06745529
300,HL-60 Galvanin knockout + Galvanin-GFP,0.05765939
300,HL-60 Galvanin knockout + Galvanin-GFP,0.053591631
300,HL-60 Galvanin knockout + Galvanin-GFP,0.09374382
300,HL-60 Galvanin knockout + Galvanin-GFP,0.066924388
,,
,,
,,
,,
,,
,,